1.1,0.3,5,rotated,-8.8817841970012523e-16,3.9766510860123567e-12,5.2872532199656075e-13
1.1,0.3,6,petz,-1.7763568394002505e-15,4.6107314440246575e-15,5.6424222563548275e-16
1.1,0.3,6,rotated,-1.7763568394002505e-15,3.3842201421635778e-14,4.8063906781850293e-15
1.1,0.6,1,petz,1.0479943556749305e-03,9.9732665435078235e-03,2.5116089129295113e-03
1.1,0.6,1,rotated,1.0479943556749305e-03,6.1399723966827019e-03,1.7178753214518020e-03
1.1,0.6,2,petz,9.2231350938831724e-06,2.2241097293815109e-04,5.5819970752804430e-05
1.1,0.6,2,rotated,9.2231350938831724e-06,1.9265174938972373e-04,5.4269780501842659e-05
1.1,0.6,3,petz,1.0772555558702379e-07,2.0918241843005574e-06,5.6997407111461405e-07
1.1,0.6,3,rotated,1.0772555558702379e-07,6.3874172954464649e-06,1.9344207730752220e-06
1.1,0.6,4,petz,1.3919656538519121e-09,4.1870277594092335e-08,1.2695750871133026e-08
1.1,0.6,4,rotated,1.3919656538519121e-09,2.7235710152865370e-07,8.2556336708860555e-08
1.1,0.6,5,petz,1.8756551867227245e-11,1.4847199937448927e-09,4.5590233625548187e-10
1.1,0.6,5,rotated,1.8756551867227245e-11,1.1495140937279531e-08,3.4697528660308902e-09
1.1,0.6,6,petz,2.5845992013273644e-13,5.2979357901738193e-11,1.6382854472190206e-11
1.1,0.6,6,rotated,2.5845992013273644e-13,4.4430771655805072e-10,1.3591737894005083e-10
1.2,0.3,1,petz,3.5667419657769983e-05,2.1829366485376259e-03,2.5520233789277864e-04
1.2,0.3,1,rotated,3.5667419657769983e-05,4.2459775505968164e-04,6.0099287227648650e-05
1.2,0.3,2,petz,3.1041410331056341e-08,1.2440476497737163e-05,1.4555408071611171e-06
1.2,0.3,2,rotated,3.1041410331056341e-08,5.4534015418363965e-06,7.3539515116090531e-07
1.2,0.3,3,petz,3.7866598745495139e-11,2.7973456462051809e-08,3.3146362329315558e-09
1.2,0.3,3,rotated,3.7866598745495139e-11,6.1520602389949376e-08,8.2502489218645005e-09
1.2,0.3,4,petz,5.1514348342607263e-14,8.6326210469595407e-11,1.1306126366423017e-11
1.2,0.3,4,rotated,5.1514348342607263e-14,6.2852844848129880e-10,8.5252886270304958e-11
1.2,0.3,5,petz,-8.8817841970012523e-16,4.8528659330205453e-13,7.5834622348471585e-14
1.2,0.3,5,rotated,-8.8817841970012523e-16,5.9443430293535726e-12,8.4128386819307858e-13
1.2,0.3,6,petz,0.0000000000000000e+00,6.5756229861953834e-15,8.7962009472557389e-16
1.2,0.3,6,rotated,0.0000000000000000e+00,5.5406016513133961e-14,8.4233186052560406e-15
1.2,0.6,1,petz,1.1757669380312308e-03,1.0641405955469058e-02,2.9109336481268244e-03
1.2,0.6,1,rotated,1.1757669380312308e-03,6.8715786284590224e-03,2.0839960709679189e-03
1.2,0.6,2,petz,1.1807234231220320e-05,2.5471311716082466e-04,6.9323144834028153e-05
1.2,0.6,2,rotated,1.1807234231220320e-05,2.2079280611761340e-04,6.7703368212729552e-05
1.2,0.6,3,petz,1.5662746033484609e-07,2.7647705977820805e-06,8.0765499312322520e-07
